model,class,precision,recall,f1_score,support
Logistic Regression,Low,1.0,0.8846153846153846,0.9387755102040817,26
Logistic Regression,Medium,0.925531914893617,0.925531914893617,0.925531914893617,94
Logistic Regression,High,0.9156626506024096,0.95,0.9325153374233128,80
Decision Tree,Low,0.76,0.7307692307692307,0.7450980392156863,26
Decision Tree,Medium,0.7272727272727273,0.6808510638297872,0.7032967032967034,94
Decision Tree,High,0.7241379310344828,0.7875,0.7544910179640718,80
Random Forest,Low,0.8823529411764706,0.5769230769230769,0.6976744186046512,26
Random Forest,Medium,0.7363636363636363,0.8617021276595744,0.7941176470588235,94
Random Forest,High,0.8493150684931506,0.775,0.8104575163398693,80
XGBoost,Low,0.8695652173913043,0.7692307692307693,0.8163265306122449,26
XGBoost,Medium,0.8526315789473684,0.8617021276595744,0.8571428571428571,94
XGBoost,High,0.8780487804878049,0.9,0.8888888888888888,80
